Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:140777,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:140777,Course,2018-04-08 20:49 UTC,N/A,false,N/A,
Learning Webpack 3,"webpack is a great addition to a front-end developer's toolset. It's a module bundler suitable for the largest single-page web applications, and it can process JavaScript, CSS, and more. With webpack, web development is faster, more efficient, and fun. Learn the basics of webpack 3, in this introductory course with Eve Porcello. Discover how to install webpack, run a build, and edit the config file to facilitate automation. Find out how to use loaders to run tasks and process files such as CSS, SCSS, and inline images. Eve then demos webpack plugins for managing tasks such as code splitting and minification.",Course,2018-08-14 11:45 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:161817,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:161817,Course,2018-04-01 07:21 UTC,N/A,false,N/A,
JavaScript: Maps and Sets,"Programming languages are always evolving and changing, and JavaScript is no exception. Over time, JavaScript has grown, and many new aspects have been added, including maps and sets. JavaScript maps and sets may sound simple, but they aren't quite the same as their counterparts in other programming languages. In this course, software engineer Jamie Pittman covers the ins and outs of JavaScript maps and sets, their syntax, how they work, and how to integrate them into your daily coding practice. Topics covered include a general overview of these features, when and where to use them, their WeakMap and WeakSet versions, and the various methods and properties associated with them.",Course,2022-07-14 09:58 UTC,N/A,false,N/A,
Microsoft Project for the Web: Reporting with Power BI,"Create clearer, more visually compelling project reports using Power BI, the data visualization tool included with Office. In this course, John Riopel, PMP, gives project management professionals a crash course in Power BI, explaining how it can be used to create more robust project reports. John starts with the basics, explaining the main components of Power BI and showing you how to work with tables, filter the right data using slicers, and format a basic report. Next, John covers more intermediate features of Power BI, such as using samples and content packs, working with measures, and using conditional formatting. Finally, John explains how to work with advanced features, like creating and fine-tuning dashboards in Power BI, merging datasets, and adding custom visuals to your report.",Course,N/A,N/A,true,N/A,
Learning React Native (2017),"Get introduced to React Native and learn how to build applications in JavaScript. This course explores React Native and gets you started with components, views, and platform APIs. Join Alex Banks as he takes you through setting up your first app, creating style sheets, working with flexbox, implementing navigation, incorporating scrolling, adding touch responses, and more.",Course,2019-09-14 14:52 UTC,N/A,false,N/A,
Using Public Health Dashboards,"Certain events bring big data into the public eye. The COVID-19 pandemic has generated an extensive amount of data from public institutions that are publishing their own dashboards, including governments, hospitals, and schools. However, when using these resources, it's important to be able to evaluate the accuracy of the data and even more critical to use the data in a responsible manner. Learn how to evaluate the various dashboards that are available to researchers, including the COVID-19 dashboard from John Hopkins University and the Institute for Health Metrics and Evaluation (IHME) dashboard, in this course with data scientist and professor Jennifer Shin. Learn how to view and interpret dashboard metrics and visualizations and use them effectively in your own data science projects.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2022-10-28 19:22 UTC,N/A,false,N/A,
Building RESTful Web APIs with Node.js and Express (2017),"Good news for JavaScript developers: Using Node.js and Express, you can build a web API to push and pull data from your applications via HTTP. You don't have to learn ASP.NET or Python. You don't even have to know that much about back-end programming. In this course, Emmanuel Henri shows how to create a simple, RESTful web API with these two popular JavaScript libraries. He shows how to set up the project, including the Express server and testing environment, and create the endpoints needed to add, update, and delete data from a MongoDB database. At the end of the course, he shows how to serve static files such as images with your new API, and explores additional libraries that can help streamline API development, such as Koa and LoopBack.",Course,2018-08-09 03:55 UTC,N/A,false,N/A,
HTML5: File API,"Join author Joe Marini as he demonstrates how to use the HTML5 File API to perform file-related operations from within a web page, including manipulating files, reading and accessing data within files, and retrieving information about files. The course also covers how to complete tasks that were previously only possible with native code, such as picture processing, file conversion, and content checking.",Course,2018-09-24 15:53 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:372540,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:372540,Course,2018-08-04 21:44 UTC,N/A,false,N/A,
WordPress: Speeding Up Your Site,"Slow loading speeds equal lost customers. In this course, instructor Patrick Rauland walks through steps you can take to make a typical WordPress site lightning fast. Patrick explains why speed is so important, then shows you how to check and monitor your speed. He describes how websites slow down and how to identify static and dynamic WordPress sites. Patrick goes into hosting and all the ways a good website host can speed up your site. He covers ways you can make sure media isn’t slowing down your site, such as optimizing images, using a content delivery network (CDN), and offloading audio and video files. Patrick shows you how to balance fast versus functional, in making sure plugins don’t slow down your site. After going over how to make your database more efficient, Patrick concludes with a discussion of caching and how “busting” your cache can speed up your site.",Course,2022-11-13 06:02 UTC,N/A,false,N/A,
SQL Essential Training (2019),"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2022-02-17 17:42 UTC,N/A,false,N/A,
Creating a Responsive Presentation in HTML5,"Follow along with author Justin Putney as he uses open technologies (HTML5, jQuery, and CSS) to create a dynamic presentation slideshow that responds to mobile and desktop layouts. Learn to customize the slideshow to fit your next project, and to display artwork, photography, and other kinds of content.<br><br>

Discover how to structure the HTML and slide content; design the navigation to react to clicks, keyboard input, and swipe gestures; and use CSS to customize the slide display for different screens and animated transitions. Justin also includes a series of challenge-and-solution pairs to test your skills.<br><br>

Then, when you're ready, watch the <em>HTML5 Projects: Creating an Advanced Responsive Presentation</em> follow-up course to enhance your web presentation slides with audio, video, and an automatic playback feature.",Course,2018-08-09 03:58 UTC,N/A,false,N/A,
WordPress 4 Essential Training,"<div><a href=""https://www.linkedin.com/newsletters/6780173704283475968?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Morten's LinkedIn Newsletter</a></div><br>WordPress powers millions of blogs and websites. Learn how to create your own with this powerful publishing platform. Staff author Morten Rand-Hendriksen will help you get the most out of the self-hosted version of WordPress and create feature-rich blogs and websites. Morten explains how to create and publish posts and pages; customize your site with themes, widgets, and custom menus; and extend WordPress even further with plugins. Plus, learn how to get more readers with social media sharing and comments, and how to adjust the settings that keep your site safe and secure.<br><br>

Note: This course covers an older version of WordPress, which features the Classic Editor. Watch this course only if you are using the Classic Editor plugin or using WordPress 4.9 or earlier. Otherwise, watch <i>WordPress 5 Essential Training</i>, which covers the new Block Editor experience.",Course,2017-10-26 10:03 UTC,N/A,false,N/A,
JavaScript: Prototypes,"The JavaScript approach to object-oriented programming feels alien to many developers. While prototypes are core tools for intermediate and advanced programming, even experienced developers may not understand how they work. This course explains how to write more efficient JavaScript code using the prototype chain. Learn fundamental concepts underlying prototypes, such as object literals and constructors, and discover how prototypes can reduce memory usage, improve code organization, and help you cascade changes site-wide with a single update. Instructor Sasha Vodnik also explains how to use ES6 classes to build prototypes with less code and more features.",Course,2021-12-06 22:51 UTC,N/A,false,N/A,
